Position,Artist Name,Song Name,Days,Peak Position,Total Streams
7152,Bankrol Hayden ,Drop A Tear,3,128,718591
7153,The Weeknd ,Missed You  Bonus Track,2,43,718317
7154,5 Seconds of Summer ,Fly Away,7,80,717668
7155,Ed Sheeran ,Lego House,11,150,717608
7156,Trippie Redd ,Ain’t Safe,2,66,717324
7157,Future ,Outer Space Bih,2,71,717056
7158,Maroon 5 ,Whiskey,3,84,716781
7159,Eslabon Armado ,MODO DEPRE :(,2,73,716768
7160,Riley Green ,If It Wasn’t For Trucks,3,133,716589
7161,Dead Or Alive ,You Spin Me Round (Like a Record),3,114,716371
7162,DaBaby ,SHUT UP,3,168,716193
7163,NAV ,Good Intentions (Intro),2,53,715892
7164,John Mayer ,Til the Right One Comes,2,65,715340
7165,Solange ,Stay Flo,2,66,715136
7166,Wiz Khalifa ,Y U Mad,3,106,714801
7167,ZAYN ,BoRdErSz,5,98,713958
7168,Melanie Martinez ,Class Fight,3,142,713917
7169,6LACK ,Seasons,3,148,713334
7170,Future ,St. Lucia,2,62,711994
7171,The,Dream  That's My Shit,9,114,711891
7172,Wiz Khalifa ,Lit,6,121,711873
7173,Usher ,Yeah!,6,118,711827
7174,Kid Ink ,Show Me,14,139,711405
7175,Yung Gravy ,C'est La Vie,3,177,711353
7176,Young Thug ,Die Slow,2,44,711118
7177,Meek Mill ,All Eyes On You,2,15,711115
7178,Daniel Marcy ,,1,20,710534
7179,Ryan Gosling ,City Of Stars,4,100,709940
7180,Anderson .Paak ,6 Summers,2,59,709734
7181,Gunna ,ROCKSTAR BIKERS & CHAINS,2,65,709722
7182,Jaden ,Chateau,3,136,709568
7183,21 Savage ,Secret,2,52,709137
7184,Comethazine ,FIND HIM!,3,172,708983
7185,2 Chainz ,Dead Man Walking,2,114,708732
7186,Future ,Pray For A Key,2,69,708606
7187,Summer Walker ,Dat Right There,2,56,708393
7188,John Mayer ,Your Body Is a Wonderland,9,149,707906
7189,Sueco ,Loser,3,151,707378
7190,Luke Combs ,On the Other Line,2,49,707073
7191,Lana Del Rey ,Freak,6,70,706819
7192,2 Chainz ,Bounce,6,131,705454
7193,Gucci Mane ,Both Eyes Closed,4,170,705123
7194,Lauv ,Tattoos Together,2,101,704293
7195,The Beatles ,Twist And Shout  Remastered,5,110,704122
7196,Machine Gun Kelly ,why are you here,2,84,703999
7197,Quavo ,FUCK 12,2,62,703804
7198,Selena Gomez ,De Una Vez,2,52,703081
7199,YoungBoy Never Broke Again ,Rich As Hell,3,153,703078
7200,KIDS SEE GHOSTS ,Kids See Ghosts,1,29,702097
7201,Fences ,Arrows,12,117,701738
7202,Lil Yachty ,GET MONEY BROS.,2,71,701575
7203,DMX ,Rudolph the Rednose Reindeer,3,135,701454
7204,Wiz Khalifa ,Ocean,2,71,701293
7205,The Notorious B.I.G. ,Hypnotize,6,118,701115
7206,Ariana Grande ,worst behavior,2,34,701049
7207,Young Stoner Life ,Real,2,41,700929
7208,The Neighbourhood ,R.I.P. 2 My Youth,8,119,700327
7209,Linkin Park ,Battle Symphony,3,79,700298
7210,Future ,Accepting My Flaws,2,75,700127
7211,Megan Thee Stallion ,Sugar Baby,2,70,699964
7212,Chris Stapleton ,Traveller,5,51,699861
7213,Mac Miller ,Inside Outside,2,47,699256
7214,Halsey ,Forever ... (is a long time),2,111,698475
7215,T.I. ,Jefe,3,163,698245
7216,for KING & COUNTRY ,Little Drummer Boy,2,164,697514
7217,Halsey ,Castle,7,117,697448
7218,Hailey Whitters ,Everything She Ain’t,3,180,696950
7219,Ed Sheeran ,Tides,2,45,696597
7220,Trippie Redd ,Space Time,2,60,696517
7221,Jhené Aiko ,One Way St.,2,107,696233
7222,Lil Baby ,Cost To Be Alive,2,61,695618
7223,Wiz Khalifa ,Rolling Papers 2,2,80,694275
7224,Fifth Harmony ,Like Mariah,9,130,694177
7225,A$AP Rocky ,"Black Tux, White Collar",2,82,692490
7226,Wisin ,Fiel  Remix,3,155,692175
7227,A Boogie Wit da Hoodie ,Another Day Gone,2,100,691316
7228,Mitski ,Stay Soft,2,43,691119
7229,The Chicks ,Gaslighter,2,116,690828
7230,Trippie Redd ,New Money,2,62,690618
7231,Sage The Gemini ,Good Thing,8,121,689696
7232,DJ Khaled ,WAY PAST LUCK,2,68,689684
7233,Melanie Martinez ,High School Sweethearts,3,152,689474
7234,Lil Baby ,No Friends,2,102,689254
7235,Baby Keem ,pink panties,2,60,689079
7236,Playboi Carti ,F33l Lik3 Dyin,2,145,688712
7237,Pusha T ,Just So You Remember,2,47,688423
7238,Steve Lacy ,Buttons,2,49,687574
7239,Dan + Shay ,Officially Christmas,2,148,687100
7240,Baby Keem ,cocoa,2,67,685925
7241,The Chainsmokers ,Kanye,13,167,685639
7242,Ski Mask The Slump God ,He Diddy!,2,79,685474
7243,Mike WiLL Made,It  The Mantra,2,60,685441
7244,DJ Snake ,The Half,5,110,685171
7245,Kesha ,Rainbow,4,138,684884
7246,BTS ,Outro: Tear,3,156,684794
7247,YFN Lucci ,Everyday We Lit (Remix),4,185,684498
7248,Thirty Seconds To Mars ,Walk On Water,3,101,684269
7249,Michael Jackson ,Smooth Criminal  2012 Remaster,2,82,683871
7250,Céline Dion ,Happy Xmas (War Is Over),2,159,683614
